round,val_loss,val_acc
1,2.4156639614105226,11.15
2,2.378098774719238,17.96
3,2.07680309753418,24.42
4,1.7830447525024413,37.61
5,1.6105483728408814,43.85
6,1.427642267227173,52.23
7,1.3247844999313354,54.93
8,1.2276371963500976,57.41
9,1.152516621208191,60.49
10,1.1036186882019043,61.76
11,1.0425315525054932,63.62
12,1.012587886619568,64.63
13,0.973882661819458,65.85
14,0.9556080034255982,66.37
15,0.9158845405578613,67.53
16,0.8939380573272705,68.63
17,0.8742315653800964,69.22
18,0.853843255519867,70.08
19,0.8535686573028565,70.05
20,0.8304639588356018,70.9
21,0.8109931846618652,71.59
22,0.8049028673171997,71.62
23,0.7872344439506531,72.23
24,0.7884686573982239,72.33
25,0.7658126124382019,73.1
26,0.7675983695030213,73.15
27,0.7568359452247619,73.39
28,0.7503825773239136,73.7
29,0.7448607285499573,74.17
30,0.7377125075340271,74.27
31,0.7314397347450257,74.64
32,0.7277533513069153,74.65
33,0.723084034729004,75.01
34,0.7254541526794434,75.02
35,0.7146547074794769,75.37
36,0.714871274471283,75.55
37,0.707922574043274,75.54
38,0.7147413375854492,75.47
39,0.710712360572815,75.63
40,0.7102617636680603,75.85
41,0.7103334994792938,75.89
42,0.7059137806892395,76.24
43,0.7091160267829895,76.03
44,0.7061521923065186,76.35
45,0.7116291533470154,76.08
46,0.7041058766841889,76.44
47,0.7094174861431122,76.44
48,0.7110495791435242,76.43
49,0.7153359798908233,76.55
50,0.7110650201797485,76.67
